╔══════════════════════════════════════════════════════════════╗
║  APS01 B+++: BLIND PAIRING & MAGNETIC GEAR DISCOVERY       ║
╚══════════════════════════════════════════════════════════════╝

══ TABLE 1: PAIRING METRICS ══

  ID  Z    OLI   CBI  BP   rho   PS1  NPBP1  PCI1  rough    RWI      MdA     MdB     MdC
  Pt  78  ?       SOFT    SOFT     para    2  para→open ✓
  Au  79  ?       SOFT    SOFT     para    1  para→open ✓
  Hg  80  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Tl  81  ?       SOFT    SOFT     para    1  para→open ✓
  Pb  82  ?       SOFT    SOFT     para    2  para→open ✓
  Bi  83  ?       SOFT    SOFT     para    3  para→open ✓
  Po  84  ?       SOFT    SOFT     para    2  para→open ✓
  At  85  ?       SOFT    SOFT     para    1  para→open ✓
  Rn  86  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Fr  87  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Ra  88  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Ac  89  ?       SOFT    SOFT     para    1  para→open ✓
  Th  90  ?       SOFT    SOFT     para    2  para→open ✓
  Pa  91  ?       SOFT    SOFT     para    3  para→open ✓
  U   92  ?       SOFT    SOFT     para    4  para→open ✓
  Np  93  ?       SOFT    SOFT     para    5  para→open ✓
  Pu  94  ?       SOFT    SOFT     para    6  para→open ✓
  Am  95  ?       SOFT    SOFT     para    7  para→open ✓
  Cm  96  ?       SOFT    SOFT     para    8  para→open ✓
  Bk  97  ?       SOFT    SOFT     para    5  para→open ✓
  Cf  98  ?       SOFT    SOFT     para    4  para→open ✓
  Es  99  ?       SOFT    SOFT     para    3  para→open ✓
  Fm  100  ?       SOFT    SOFT     para    2  para→open ✓
  Md  101  ?       SOFT    SOFT     para    1  para→open ✓
  No  102  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Lr  103  ?       SOFT    SOFT     para    1  para→open ✓
  Rf  104  ?       SOFT    SOFT     para    2  para→open ✓
  Db  105  ?       SOFT    SOFT     para    3  para→open ✓
  Sg  106  ?       SOFT    SOFT     para    4  para→open ✓
  Bh  107  ?       SOFT    SOFT     para    5  para→open ✓
  Hs  108  ?       SOFT    SOFT     para    4  para→open ✓
  Mt  109  ?       SOFT    SOFT     para    3  para→open ✓
  Ds  110  ?       SOFT    SOFT     para    2  para→open ✓
  Rg  111  ?       SOFT    SOFT     para    1  para→open ✓
  Cn  112  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Nh  113  ?       SOFT    SOFT     para    1  para→open ✓
  Fl  114  ?       SOFT    SOFT     para    2  para→open ✓
  Mc  115  ?       SOFT    SOFT     para    3  para→open ✓
  Lv  116  ?       SOFT    SOFT     para    2  para→open ✓
  Ts  117  ?       SOFT    SOFT     para    1  para→open ✓
  Og  118  ?       SOFT    SOFT     dia     0  dia NOT cancel

══ TABLE 5: TRITON GRAMMAR EFFECT ══

       Z   A  n_d n_t  f_t%     RWI    MGE  Mag    MdB→MdC
  H    1   1    0  -1    0%  0.0000 0.0000  para   CANCEL
  He   2   4    0   0    0%  0.0000 0.0000  dia    CANCEL
  Li   3   7    0   1  100%  0.6126 1.2252  para   LOOSE
  Be   4   9    1   1   50%  0.1711 0.2567  dia    CANCEL
  B    5  11    2   1   33%  0.1467 0.1957  para   BREACH
  C    6  12    4   0    0%  0.1707 0.1707  para   BREACH
  N    7  14    5   0    0%  0.1348 0.1348  para   BREACH
  O    8  16    6   0    0%  0.1299 0.1299  para   BREACH
  F    9  19    6   1   14%  0.0115 0.0131  para   CANCEL
  Ne  10  20    8   0    0%  0.0086 0.0086  dia    CANCEL
  Na  11  23    8   1   11%  0.3850 0.4278  para   LOOSE
  Mg  12  24   10   0    0%  0.0642 0.0642  dia    CANCEL
  Al  13  27   10   1    9%  0.0383 0.0418  para   RESIDUAL
  Si  14  28   12   0    0%  0.0201 0.0201  para   SOFT -> RESIDUAL
  P   15  31   12   1    8%  0.0114 0.0123  para   RESIDUAL
  S   16  32   14   0    0%  0.0258 0.0258  para   SOFT -> RESIDUAL
  Cl  17  35   14   1    7%  0.0015 0.0016  para   SOFT
  Ar  18  40   12   4   25%  0.0009 0.0012  dia    CANCEL
  K   19  39   16   1    6%  0.3283 0.3476  para   LOOSE
  Ca  20  40   18   0    0%  0.0435 0.0435  dia    CANCEL
  Sc  21  45   16   3   16%  0.0000 0.0000  para   SOFT
  Ti  22  48   16   4   20%  0.0000 0.0001  para   SOFT
  V   23  51   16   5   24%  0.0010 0.0013  para   SOFT
  Cr  24  52   18   4   18%  0.0102 0.0120  para   SOFT -> D-GEAR
  Mn  25  55   18   5   22%  0.0001 0.0001  para   SOFT
  Fe  26  56   20   4   17%  0.0009 0.0011  para   SOFT
  Co  27  59   20   5   20%  0.0015 0.0018  para   SOFT
  Ni  28  58   24   2    8%  0.0063 0.0068  para   SOFT -> D-GEAR
  Cu  29  63   22   5   19%  0.0205 0.0242  para   SOFT -> D-GEAR
  Zn  30  64   24   4   14%  0.0032 0.0036  dia    SOFT
  Ga  31  69   22   7   24%  0.1024 0.1271  para   SOFT -> RESIDUAL
  Ge  32  74   20  10   33%  0.0006 0.0008  para   SOFT
  As  33  75   22   9   29%  0.0072 0.0093  para   SOFT -> RESIDUAL
  Se  34  80   20  12   38%  0.0242 0.0332  para   SOFT -> RESIDUAL
  Br  35  79   24   9   27%  0.0013 0.0016  para   SOFT
  Kr  36  84   22  12   35%  0.0028 0.0038  dia    SOFT
  Rb  37  85   24  11   31%  0.0000 0.0000  para   LOOSE
  Sr  38  88   24  12   33%  0.0000 0.0000  dia    SOFT
  Y   39  89   26  11   30%  0.0000 0.0000  para   SOFT
  Zr  40  90   28  10   26%  0.0000 0.0000  para   SOFT
  Nb  41  93   28  11   28%  0.0000 0.0000  para   SOFT
  Mo  42  96   28  12   30%  0.0000 0.0000  para   SOFT
  Tc  43  98   29  12   29%  0.0000 0.0000  para   SOFT
  Ru  44 101   29  13   31%  0.0000 0.0000  para   SOFT
  Rh  45 103   30  13   30%  0.0000 0.0000  para   SOFT
  Pd  46 106   30  14   32%  0.0000 0.0000  dia    SOFT
  Ag  47 107   32  13   29%  0.0000 0.0000  para   SOFT
  Cd  48 112   30  16   35%  0.0000 0.0000  dia    SOFT
  In  49 115   30  17   36%  0.0000 0.0000  para   SOFT
  Sn  50 120   28  20   42%  0.0000 0.0000  para   SOFT
  Sb  51 121   30  19   39%  0.0000 0.0000  para   SOFT
  Te  52 130   24  26   52%  0.0000 0.0000  para   SOFT
  I   53 127   30  21   41%  0.0000 0.0000  para   SOFT
  Xe  54 131   29  23   44%  0.0000 0.0000  dia    SOFT
  Cs  55 133   30  23   43%  0.0000 0.0000  para   LOOSE
  Ba  56 137   29  25   46%  0.0000 0.0000  dia    SOFT
  La  57 139   30  25   45%  0.0000 0.0000  para   SOFT
  Ce  58 140   32  24   43%  0.0000 0.0000  para   SOFT
  Pr  59 141   34  23   40%  0.0000 0.0000  para   SOFT
  Nd  60 144   34  24   41%  0.0000 0.0000  para   SOFT
  Pm  61 145   36  23   39%  0.0000 0.0000  para   SOFT
  Sm  62 150   34  26   43%  0.0000 0.0000  para   SOFT
  Eu  63 153   34  27   44%  0.0000 0.0000  para   SOFT
  Gd  64 157   33  29   47%  0.0000 0.0000  para   SOFT
  Tb  65 159   34  29   46%  0.0000 0.0000  para   SOFT
  Dy  66 163   33  31   48%  0.0000 0.0000  para   SOFT
  Ho  67 165   34  31   48%  0.0000 0.0000  para   SOFT
  Er  68 167   35  31   47%  0.0000 0.0000  para   SOFT
  Tm  69 169   36  31   46%  0.0000 0.0000  para   SOFT
  Yb  70 173   35  33   49%  0.0000 0.0000  dia    SOFT
  Lu  71 175   36  33   48%  0.0000 0.0000  para   SOFT
  Hf  72 178   36  34   49%  0.0000 0.0000  para   SOFT
  Ta  73 181   36  35   49%  0.0000 0.0000  para   SOFT
  W   74 184   36  36   50%  0.0000 0.0000  para   SOFT
  Re  75 187   36  37   51%  0.0000 0.0000  para   SOFT
  Os  76 192   34  40   54%  0.0000 0.0000  para   SOFT
  Ir  77 193   36  39   52%  0.0000 0.0000  para   SOFT
  Pt  78 195   37  39   51%  0.0000 0.0000  para   SOFT
  Au  79 197   38  39   51%  0.0000 0.0000  para   SOFT
  Hg  80 201   37  41   53%  0.0000 0.0000  dia    SOFT
  Tl  81 204   37  42   53%  0.0000 0.0000  para   SOFT
  Pb  82 207   37  43   54%  0.0000 0.0000  para   SOFT
  Bi  83 209   38  43   53%  0.0000 0.0000  para   SOFT
  Po  84 209   41  41   50%  0.0000 0.0000  para   SOFT
  At  85 210   43  40   48%  0.0000 0.0000  para   SOFT
  Rn  86 222   34  50   60%  0.0000 0.0000  dia    SOFT
  Fr  87 223   36  49   58%  0.0000 0.0000  para   LOOSE
  Ra  88 226   36  50   58%  0.0000 0.0000  dia    SOFT
  Ac  89 227   38  49   56%  0.0000 0.0000  para   SOFT
  Th  90 232   36  52   59%  0.0000 0.0000  para   SOFT
  Pa  91 231   40  49   55%  0.0000 0.0000  para   SOFT
  U   92 238   36  54   60%  0.0000 0.0000  para   SOFT
  Np  93 237   40  51   56%  0.0000 0.0000  para   SOFT
  Pu  94 244   36  56   61%  0.0000 0.0000  para   SOFT
  Am  95 243   40  53   57%  0.0000 0.0000  para   SOFT
  Cm  96 247   39  55   59%  0.0000 0.0000  para   SOFT
  Bk  97 247   42  53   56%  0.0000 0.0000  para   SOFT
  Cf  98 251   41  55   57%  0.0000 0.0000  para   SOFT
  Es  99 252   43  54   56%  0.0000 0.0000  para   SOFT
  Fm  100 257   41  57   58%  0.0000 0.0000  para   SOFT
  Md  101 258   43  56   57%  0.0000 0.0000  para   SOFT
  No  102 259   45  55   55%  0.0000 0.0000  dia    SOFT
  Lr  103 266   41  60   59%  0.0000 0.0000  para   SOFT
  Rf  104 267   43  59   58%  0.0000 0.0000  para   SOFT
  Db  105 268   45  58   56%  0.0000 0.0000  para   SOFT
  Sg  106 269   47  57   55%  0.0000 0.0000  para   SOFT
  Bh  107 270   49  56   53%  0.0000 0.0000  para   SOFT
  Hs  108 277   45  61   58%  0.0000 0.0000  para   SOFT
  Mt  109 278   47  60   56%  0.0000 0.0000  para   SOFT
  Ds  110 281   47  61   56%  0.0000 0.0000  para   SOFT
  Rg  111 282   49  60   55%  0.0000 0.0000  para   SOFT
  Cn  112 285   49  61   55%  0.0000 0.0000  dia    SOFT
  Nh  113 286   51  60   54%  0.0000 0.0000  para   SOFT
  Fl  114 289   51  61   54%  0.0000 0.0000  para   SOFT
  Mc  115 290   53  60   53%  0.0000 0.0000  para   SOFT
  Lv  116 293   53  61   54%  0.0000 0.0000  para   SOFT
  Ts  117 294   55  60   52%  0.0000 0.0000  para   SOFT
  Og  118 294   58  58   50%  0.0000 0.0000  dia    SOFT

══ TABLE 6: Cu/Ni/Zn SPECIAL TEST ══

  Ni(Z=28): NN by mode:
    A[Rf,Rh,Pd] B[Rf,Rh,Pd] C[Zn,As,Kr]
  Cu(Z=29): NN by mode:
    A[Lu,Nh,Lv] B[Lu,Nh,Lv] C[S,Si,Se]
  Zn(Z=30): NN by mode:
    A[Ge,Si,Ti] B[Ge,Ti,Zr] C[Co,Cl,Kr]

  Cu rho=0.000 vs Ni rho=0.000 vs Zn rho=0.000
  Cu clusters with open/d-block (Mode C), distinctive from Ni.

══ TABLE 7: WAVELENGTH COUPLING SCAN ══

       Z   E_exc  lam(nm)    lam/a0 lam*Z/a0  lam/kH*re  MdB    
  H    1   10.20    121.6    2297.0   2297.0   314774.6  CANCEL 
  He   2   19.82     62.6    1182.1   2364.2   161993.0  CANCEL 
  Li   3    1.85    670.2   12664.7  37994.0  1735514.1  LOOSE  
  Be   4    2.73    454.2    8582.3  34329.1  1176081.0  CANCEL 
  B    5    3.58    346.3    6544.6  32722.9   896843.9  BREACH 
  C    6    1.26    984.0   18594.9 111569.6  2548175.5  BREACH 
  N    7    2.38    520.9    9844.4  68910.6  1349034.1  BREACH 
  O    8    1.97    629.4   11893.2  95145.7  1629797.5  BREACH 
  F    9   12.70     97.6    1844.9  16603.7   252811.1  CANCEL 
  Ne  10   16.62     74.6    1409.7  14097.2   193183.0  CANCEL 
  Na  11    2.10    590.4   11157.0 122726.6  1528905.3  LOOSE  
  Mg  12    2.71    457.5    8645.6 103747.4  1184760.6  CANCEL 
  Al  13    3.14    394.9    7461.7  97001.6  1022516.3  RESIDUAL
  Si  14    0.78   1589.5   30038.0 420531.6  4116283.5  SOFT   
  P   15    1.41    879.3   16616.8 249251.3  2277093.0  RESIDUAL
  S   16    1.15   1078.1   20373.6 325977.3  2791914.0  SOFT   
  Ar  18   11.55    107.3    2028.5  36513.7   277982.8  CANCEL 
  K   19    1.61    770.1   14552.6 276498.6  1994224.3  LOOSE  
  Ca  20    1.88    659.5   12462.6 249251.3  1707819.7  CANCEL 

══ CLUSTER RECOVERY BY MODE ══

  Group           MdA    MdB    MdC
  Ferro(Fe/Co/Ni) 0/6   0/6   2/6
  d-block(10)     4/90  4/90  15/90

══════════════════════════════════════════════════════════════
  B+++ FINDINGS

  1. Pairing visibility:
     Diamagnetic→CANCEL: 6/20 (30%)
     Paramagnetic→open:  92/98 (94%)
     Ferromagnetic→gear: 0/0 (0%)

  2. Excitation data role:
     Mode A→B changes: 103/118 atoms
     Mode B→C changes: 8/118 atoms (grammar effect)

  3. Nuclear grammar effect:
     8 atoms reclassified by grammar. Triton modulates gear.

  4. Ferro cluster (Fe/Co/Ni) Mode C: 2/6 mutual links.
     d-block cluster Mode C: 15/90 mutual links.

  5. Stage C targets:
     GRANTED: derive loose outer residual wake
     GRANTED: derive cube cancellation (noble rigidity)
     EXPLORE: derive triton asymmetry modulation

  6. Failure cases:
     FAIL: diamagnetic→CANCEL rate too low
     Zn(Z=30): diamagnetic but classified SOFT
     Kr(Z=36): diamagnetic but classified SOFT
     Sr(Z=38): diamagnetic but classified SOFT
     Pd(Z=46): diamagnetic but classified SOFT
     Cd(Z=48): diamagnetic but classified SOFT
     Xe(Z=54): diamagnetic but classified SOFT
     Ba(Z=56): diamagnetic but classified SOFT
     Yb(Z=70): diamagnetic but classified SOFT
     Hg(Z=80): diamagnetic but classified SOFT
     Rn(Z=86): diamagnetic but classified SOFT
     Ra(Z=88): diamagnetic but classified SOFT
     No(Z=102): diamagnetic but classified SOFT
     Cn(Z=112): diamagnetic but classified SOFT
     Og(Z=118): diamagnetic but classified SOFT
