corpus_id,species,Z,A,ion_stage,transition,quantity,value,unit,source,citation
C-ION-full,Z=20,20,0,9,IE_9,IE_eV,188.54,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,9,IE_9,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,10,IE_10,IE_eV,211.275,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,10,IE_10,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,11,IE_11,IE_eV,591.9,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,11,IE_11,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,12,IE_12,IE_eV,657.2,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,12,IE_12,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,13,IE_13,IE_eV,726.6,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,13,IE_13,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,14,IE_14,IE_eV,817.6,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,14,IE_14,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,15,IE_15,IE_eV,894.5,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,15,IE_15,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,16,IE_16,IE_eV,974.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,16,IE_16,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,17,IE_17,IE_eV,1087.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,17,IE_17,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,18,IE_18,IE_eV,1157.8,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,18,IE_18,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,19,IE_19,IE_eV,5128.8,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,19,IE_19,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,20,IE_20,IE_eV,5469.864,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,20,IE_20,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,1,IE_1,IE_eV,7.9024,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,1,IE_1,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,2,IE_2,IE_eV,16.1878,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,2,IE_2,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,3,IE_3,IE_eV,30.652,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,3,IE_3,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,4,IE_4,IE_eV,54.8,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,4,IE_4,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,5,IE_5,IE_eV,75.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,5,IE_5,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,6,IE_6,IE_eV,99.1,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,6,IE_6,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,7,IE_7,IE_eV,124.98,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,7,IE_7,n_valence,4,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,8,IE_8,IE_eV,151.06,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,8,IE_8,n_valence,4,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,9,IE_9,IE_eV,233.6,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,9,IE_9,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,10,IE_10,IE_eV,262.1,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,10,IE_10,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,11,IE_11,IE_eV,290.2,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,11,IE_11,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,12,IE_12,IE_eV,330.8,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,12,IE_12,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,13,IE_13,IE_eV,361.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,13,IE_13,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,14,IE_14,IE_eV,392.2,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,14,IE_14,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,15,IE_15,IE_eV,457.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,15,IE_15,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,16,IE_16,IE_eV,489.256,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,16,IE_16,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,17,IE_17,IE_eV,1266.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,17,IE_17,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,18,IE_18,IE_eV,1358.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,18,IE_18,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,19,IE_19,IE_eV,1456.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,19,IE_19,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,20,IE_20,IE_eV,1582.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,20,IE_20,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,21,IE_21,IE_eV,1689.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,21,IE_21,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,22,IE_22,IE_eV,1799.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,22,IE_22,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,23,IE_23,IE_eV,1950.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,23,IE_23,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,24,IE_24,IE_eV,2023.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,24,IE_24,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,25,IE_25,IE_eV,8828.0,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,25,IE_25,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=26,26,0,26,IE_26,IE_eV,9277.69,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=26,26,0,26,IE_26,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-breach,Be IE3,4,0,3,IE_3,IE_eV,153.8962,eV,ionisation_energies.json,ATOMICUS 04_Ionisation_Series.md label
C-ION-breach,Be IE3,4,0,3,IE_3/IE_2,ratio_obs,8.450657976020185,1,json ratio,ATOMICUS breach step
C-ION-breach,Ne IE9,10,0,9,IE_9,IE_eV,1195.8286,eV,ionisation_energies.json,ATOMICUS 04_Ionisation_Series.md label
C-ION-breach,Ne IE9,10,0,9,IE_9/IE_8,ratio_obs,5.001397329724227,1,json ratio,ATOMICUS breach step
C-ION-breach,Ar IE8,18,0,8,IE_8,IE_eV,143.46,eV,ionisation_energies.json,ATOMICUS 04_Ionisation_Series.md label
C-ION-breach,Ar IE8,18,0,8,IE_8/IE_7,ratio_obs,1.1539296831640165,1,json ratio,ATOMICUS breach step
C-ION-breach,Ca IE3,20,0,3,IE_3,IE_eV,50.9131,eV,ionisation_energies.json,ATOMICUS 04_Ionisation_Series.md label
C-ION-breach,Ca IE3,20,0,3,IE_3/IE_2,ratio_obs,4.288603504799641,1,json ratio,ATOMICUS breach step
C-ION-breach,Fe IE9,26,0,9,IE_9,IE_eV,233.6,eV,ionisation_energies.json,ATOMICUS 04_Ionisation_Series.md label
C-ION-breach,Fe IE9,26,0,9,IE_9/IE_8,ratio_obs,1.5464054018270885,1,json ratio,ATOMICUS breach step
C-ISO-Ca,"Ca-40,42",20,40,Ca+,40->42,delta_r2_fm2,0.213,fm^2,APS07_VERDICT PTB/MPIK 2025,APS07_VERDICT_DIRECT_2026-07-25.md
C-ISO-Ca,"Ca-40,42",20,40,Ca+,40->42,King_residual_Hz,96.0,Hz,APS07_VERDICT,same
C-ISO-Ca,"Ca-42,44",20,42,Ca+,42->44,delta_r2_fm2,0.069,fm^2,APS07_VERDICT PTB/MPIK 2025,APS07_VERDICT_DIRECT_2026-07-25.md
C-ISO-Ca,"Ca-42,44",20,42,Ca+,42->44,King_residual_Hz,-236.0,Hz,APS07_VERDICT,same
C-ISO-Ca,"Ca-44,46",20,44,Ca+,44->46,delta_r2_fm2,-0.158,fm^2,APS07_VERDICT PTB/MPIK 2025,APS07_VERDICT_DIRECT_2026-07-25.md
C-ISO-Ca,"Ca-44,46",20,44,Ca+,44->46,King_residual_Hz,-1653.0,Hz,APS07_VERDICT,same
C-ISO-Ca,"Ca-46,48",20,46,Ca+,46->48,delta_r2_fm2,-0.127,fm^2,APS07_VERDICT PTB/MPIK 2025,APS07_VERDICT_DIRECT_2026-07-25.md
C-ISO-Ca,"Ca-46,48",20,46,Ca+,46->48,King_residual_Hz,1641.0,Hz,APS07_VERDICT,same
C-ISO-Yb,"Yb-168,170",70,168,Yb+,168->170,delta_r2_fm2,-0.156,fm^2,Counts 2020 via APS07 DATA_COLLECTION,"PRL 125, 123002"
C-ISO-Yb,"Yb-168,170",70,168,Yb+,168->170,nu_alpha_kHz,2179098.93,kHz,Counts 2020,same
C-ISO-Yb,"Yb-170,172",70,170,Yb+,170->172,delta_r2_fm2,-0.146,fm^2,Counts 2020 via APS07 DATA_COLLECTION,"PRL 125, 123002"
C-ISO-Yb,"Yb-170,172",70,170,Yb+,170->172,nu_alpha_kHz,2044854.78,kHz,Counts 2020,same
C-ISO-Yb,"Yb-172,174",70,172,Yb+,172->174,delta_r2_fm2,-0.115,fm^2,Counts 2020 via APS07 DATA_COLLECTION,"PRL 125, 123002"
C-ISO-Yb,"Yb-172,174",70,172,Yb+,172->174,nu_alpha_kHz,1583068.42,kHz,Counts 2020,same
C-ISO-Yb,"Yb-174,176",70,174,Yb+,174->176,delta_r2_fm2,-0.11,fm^2,Counts 2020 via APS07 DATA_COLLECTION,"PRL 125, 123002"
C-ISO-Yb,"Yb-174,176",70,174,Yb+,174->176,nu_alpha_kHz,1509055.29,kHz,Counts 2020,same
C-MULTI,He I,2,4,I,1s2-1s2p 1P,lambda_nm,58.433,nm,pre-registration,APS01 / NIST 58.433 nm
C-MULTI,He I,2,4,I,1s2-1s2p 1P,E_eV,21.218,eV,pre-registration,same
C-MULTI,Na I,11,23,I,3s-3p,lambda_nm,588.995,nm,pre-registration,APS01 588.995 nm
C-MULTI,Na I,11,23,I,3s-3p,E_eV,2.105,eV,pre-registration,same
C-MULTI,Fe XXV,26,56,XXV,1s2-1s2p 1P w,E_keV,6.7,keV,pre-registration freeze,APS12_PRE_REGISTRATION.md
C-MULTI,Be I,4,9,I,2s2-2s2p 1P,lambda_nm,234.861,nm,pre-registration,APS01 234.861 nm
C-MULTI,Be I,4,9,I,2s2-2s2p 1P,E_eV,5.279,eV,pre-registration,same
